,Manufacturer,Model_Name,Category,Screen_Size_Inches,Screen,CPU,CPU_Brands,RAM_GB,Storage,Storage_Type,GPU,GPU_Brands,Operating_System,Operating_System_Version,Weight,Resolution & Weight,Price_Euros
8,Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,1.3kg,1920x1080  ------>  1.3kg,"1495,00"
18,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,No OS,,2.2kg,1920x1080  ------>  2.2kg,"499,00"
21,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"999,00"
29,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 930MX,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"896,00"
39,HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930MX ,Nvidia,Windows,10,2.1kg,1920x1080  ------>  2.1kg,"879,00"
41,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.65kg,1920x1080  ------>  2.65kg,"1499,00"
42,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,Linux,,2.3kg,1366x768  ------>  2.3kg,"522,99"
44,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,12,1TB HDD,HDD,Nvidia GeForce 150MX,Nvidia,Windows,10,2.77kg,1920x1080  ------>  2.77kg,"999,00"
49,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,Intel,4,1TB HDD,HDD,Nvidia GeForce 920MX,Nvidia,Windows,10,2.8kg,1366x768  ------>  2.8kg,"466,00"
51,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"841,00"
58,MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  2TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,2.43kg,1920x1080  ------>  2.43kg,"2449,00"
65,Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,1.8kg,1920x1080  ------>  1.8kg,"1983,00"
69,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,12,1TB HDD,HDD,Nvidia GeForce GTX 1050 Ti,Nvidia,Linux,,3kg,1920x1080  ------>  3kg,"949,00"
73,MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.7kg,1920x1080  ------>  2.7kg,"1095,00"
75,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"949,00"
78,Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,Intel,4,1TB HDD,HDD,Nvidia GeForce MX130,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"530,00"
79,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"977,00"
85,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.65kg,1920x1080  ------>  2.65kg,"1349,00"
86,HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 940MX,Nvidia,Windows,10,1.83kg,1920x1080  ------>  1.83kg,"699,00"
88,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"1449,00"
91,Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce MX150,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"689,00"
93,Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.65kg,1920x1080  ------>  2.65kg,"1195,00"
98,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,Intel,6,256GB SSD,SSD,Nvidia GeForce 920M,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"577,00"
99,HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,12,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.62kg,1920x1080  ------>  2.62kg,"1249,00"
103,HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,1.38kg,1920x1080  ------>  1.38kg,"1119,00"
105,HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,6,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.58kg,1920x1080  ------>  1.58kg,"659,00"
107,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.3kg,1920x1080  ------>  1.3kg,"1193,00"
108,MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"1299,00"
110,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,1.5kg,1920x1080  ------>  1.5kg,"1262,00"
117,Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD +  1TB HDD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.16kg,1920x1080  ------>  2.16kg,"1130,33"
118,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,Intel,4,1TB HDD,HDD,Nvidia GeForce 920MX,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"564,00"
119,Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.7kg,1920x1080  ------>  1.7kg,"1118,00"
121,MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  2TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,1.8kg,1920x1080  ------>  1.8kg,"2241,50"
122,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,No OS,,2.2kg,1920x1080  ------>  2.2kg,"629,00"
123,HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce 930MX ,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1271,00"
133,Acer,Aspire A515-51G-37JS,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,Intel,4,256GB SSD,SSD,Nvidia GeForce MX130,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"572,00"
137,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"938,00"
138,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,4,1TB HDD,HDD,Nvidia GeForce 920MX,Nvidia,No OS,,2.2kg,1920x1080  ------>  2.2kg,"499,00"
140,Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,Intel,4,1TB HDD,HDD,Nvidia GeForce MX130,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"655,00"
142,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050M,Nvidia,No OS,,2.4kg,1920x1080  ------>  2.4kg,"869,00"
148,MSI,GE72MVR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,2.9kg,1920x1080  ------>  2.9kg,"2029,00"
150,Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.56kg,1920x1080  ------>  2.56kg,"1249,26"
151,Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB Hybrid,Hybrid,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.62kg,1920x1080  ------>  2.62kg,"899,00"
153,MSI,GE73VR 7RE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.8kg,1920x1080  ------>  2.8kg,"1890,00"
161,Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,4,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"805,00"
163,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1079,00"
165,MSI,GE63VR 7RE,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.4kg,1920x1080  ------>  2.4kg,"1799,00"
167,Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.56kg,1920x1080  ------>  2.56kg,"1060,49"
168,Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"854,00"
174,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"923,00"
177,MSI,GT80S 6QF-074US,Gaming,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,Intel,32,512GB SSD +  1TB HDD,SSD,Nvidia GTX 980 SLI,Nvidia,Windows,10,4.4kg,1920x1080  ------>  4.4kg,"2799,00"
184,Xiaomi,Mi Notebook,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,No OS,,1.95kg,1920x1080  ------>  1.95kg,"1199,00"
185,Dell,Inspiron 7773,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce 150MX,Nvidia,Windows,10,2.77kg,1920x1080  ------>  2.77kg,"1549,00"
186,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.06kg,3840x2160  ------>  2.06kg,"2397,00"
187,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,No OS,,2.4kg,1920x1080  ------>  2.4kg,"779,00"
192,Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,No OS,,1.3kg,1920x1080  ------>  1.3kg,"999,90"
193,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1600x900,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,No OS,,2.8kg,1600x900  ------>  2.8kg,"698,00"
195,HP,ProBook 470,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 930MX,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"914,00"
196,Razer,Blade Pro,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,Intel,32,1TB SSD,SSD,Nvidia GeForce GTX 1080,Nvidia,Windows,10,3.49kg,3840x2160  ------>  3.49kg,"6099,00"
198,HP,Omen 17-W295,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3.35kg,1920x1080  ------>  3.35kg,"1379,00"
199,HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930MX ,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1045,00"
200,Dell,Inspiron 7577,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.65kg,3840x2160  ------>  2.65kg,"1845,00"
202,Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.23kg,1920x1080  ------>  2.23kg,"742,00"
203,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.2kg,1920x1080  ------>  3.2kg,"1749,00"
204,Dell,Precision 7520,Workstation,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,2.8kg,3840x2160  ------>  2.8kg,"3055,00"
205,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce GTX 1060,Nvidia,No OS,,2.4kg,1920x1080  ------>  2.4kg,"1398,00"
210,Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Linux,,2.4kg,1920x1080  ------>  2.4kg,"779,00"
211,Asus,ROG GL703VD-GC028T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.9kg,1920x1080  ------>  2.9kg,"1407,00"
216,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 940MX,Nvidia,No OS,,2.8kg,1600x900  ------>  2.8kg,"589,00"
217,HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,1.63kg,1920x1080  ------>  1.63kg,"1031,00"
224,Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,4.42kg,1920x1080  ------>  4.42kg,"2456,34"
225,Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"832,00"
227,Asus,Vivobook X541UV-DM1217T,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 920MX ,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"769,00"
228,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD +  500GB HDD,SSD,Nvidia GeForce GTX 950M,Nvidia,Windows,10,2.69kg,1920x1080  ------>  2.69kg,"891,00"
232,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.2kg,1920x1080  ------>  3.2kg,"1499,00"
238,Asus,ROG G703VI-E5062T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,Intel,32,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1080,Nvidia,Windows,10,4.7kg,1920x1080  ------>  4.7kg,"3890,00"
239,Acer,Nitro AN515-51,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"846,00"
241,Asus,VivoBook Pro,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 150MX,Nvidia,Windows,10,2.1kg,1920x1080  ------>  2.1kg,"1145,00"
242,Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 950M,Nvidia,No OS,,2.69kg,1920x1080  ------>  2.69kg,"889,00"
