,Manufacturer,Model_Name,Category,Screen_Size_Inches,Screen,CPU,CPU_Brands,RAM_GB,Storage,Storage_Type,GPU,GPU_Brands,Operating_System,Operating_System_Version,Weight,Resolution & Weight,Price_Euros
243,Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.56kg,1920x1080  ------>  2.56kg,"879,00"
247,Asus,Rog G701VIK-BA060T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,Intel,16,256GB SSD,SSD,Nvidia GeForce GTX 1080,Nvidia,Windows,10,3.6kg,1920x1080  ------>  3.6kg,"2999,00"
251,Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 980M,Nvidia,Windows,10,4.3kg,1920x1080  ------>  4.3kg,"1799,00"
254,Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,Intel,4,256GB SSD,SSD,Nvidia GeForce MX130,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"702,00"
257,HP,Envy 17-U275cl,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,16,1TB HDD,HDD,Nvidia GeForce MX150,Nvidia,Windows,10,2.9kg,1920x1080  ------>  2.9kg,"1059,00"
258,MSI,GT73EVR 7RE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,4.14kg,1920x1080  ------>  4.14kg,"2499,00"
259,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,512GB SSD,SSD,Nvidia GeForce GTX 1050M,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"1699,00"
268,HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 930MX ,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1018,00"
274,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,Intel,8,500GB HDD,HDD,Nvidia GeForce 930M,Nvidia,Windows,10,2.2kg,1366x768  ------>  2.2kg,"812,00"
277,Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce MX130,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"745,00"
279,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,2TB HDD,HDD,Nvidia GeForce MX150,Nvidia,No OS,,2.8kg,1920x1080  ------>  2.8kg,"849,00"
280,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,Intel,6,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.8kg,1600x900  ------>  2.8kg,"859,00"
282,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"829,00"
284,Acer,Aspire A517-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce MX150,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"951,00"
287,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.7kg,1920x1080  ------>  1.7kg,"977,00"
288,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1179,00"
289,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,No OS,,2.2kg,1920x1080  ------>  2.2kg,"659,01"
291,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"1187,00"
293,Dell,XPS 15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"1829,00"
295,Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.2kg,1920x1080  ------>  3.2kg,"1299,00"
296,Acer,Aspire A715-71G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Linux,,2.5kg,1920x1080  ------>  2.5kg,"979,00"
297,Dell,Precision 7720,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,Intel,16,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,3.42kg,1920x1080  ------>  3.42kg,"2884,86"
299,Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.63kg,1920x1080  ------>  1.63kg,"1468,00"
301,Asus,Rog GL702VS-GC095T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,2.9kg,1920x1080  ------>  2.9kg,"2122,00"
302,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,Intel,6,1TB HDD,HDD,Nvidia GeForce GTX 940M,Nvidia,Windows,10,2.8kg,1600x900  ------>  2.8kg,"649,00"
303,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,Intel,8,2TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,No OS,,2.2kg,1366x768  ------>  2.2kg,"549,00"
304,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"1265,00"
307,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930M,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"1043,00"
308,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.3kg,1920x1080  ------>  2.3kg,"819,00"
312,MSI,GE63VR 7RF,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,2.8kg,1920x1080  ------>  2.8kg,"2099,00"
321,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,Intel,4,1TB HDD,HDD,Nvidia GeForce 920MX,Nvidia,Windows,10,2.79kg,1600x900  ------>  2.79kg,"589,00"
327,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.7kg,1920x1080  ------>  1.7kg,"1049,90"
329,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,32,1TB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.06kg,3840x2160  ------>  2.06kg,"2639,00"
330,MSI,GL72M 7REX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.7kg,1920x1080  ------>  2.7kg,"1199,00"
334,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"999,00"
336,Dell,Inspiron 7570,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.9kg,1920x1080  ------>  1.9kg,"1049,00"
339,Dell,Inspiron 7570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"1142,75"
342,HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 930MX ,Nvidia,Windows,10,2.1kg,1920x1080  ------>  2.1kg,"716,00"
345,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  2TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.4kg,1920x1080  ------>  2.4kg,"1129,00"
350,Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.06kg,3840x2160  ------>  2.06kg,"2027,42"
352,MSI,GP72MVR 7RFX,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.7kg,1920x1080  ------>  2.7kg,"1409,00"
353,HP,Zbook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,2.6kg,1920x1080  ------>  2.6kg,"1738,27"
354,Toshiba,Tecra A50-C-21G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce 930M,Nvidia,Windows,10,2.4kg,1920x1080  ------>  2.4kg,"1403,00"
357,Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.65kg,1920x1080  ------>  2.65kg,"999,00"
362,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,Intel,6,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 940MX,Nvidia,Windows,10,2.8kg,1600x900  ------>  2.8kg,"719,00"
364,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 920MX ,Nvidia,No OS,,2.2kg,1366x768  ------>  2.2kg,"499,00"
367,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,No OS,,2.4kg,1920x1080  ------>  2.4kg,"809,00"
370,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,Intel,12,512GB SSD +  2TB HDD,SSD,Nvidia GeForce GT 940MX,Nvidia,Windows,10,2.26kg,1920x1080  ------>  2.26kg,"1099,00"
379,Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Linux,,2.4kg,1920x1080  ------>  2.4kg,"846,00"
380,HP,Omen 17-w212nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3.35kg,1920x1080  ------>  3.35kg,"1191,00"
382,Asus,ROG Strix,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,2.3kg,1920x1080  ------>  2.3kg,"1655,00"
383,Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,1.5kg,1920x1080  ------>  1.5kg,"1099,00"
388,Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,Intel,8,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,2kg,1920x1080  ------>  2kg,"2135,00"
390,Asus,Rog GL753VD-GC042T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"1039,00"
391,Asus,Rog GL753VE-GC070T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,3kg,1920x1080  ------>  3kg,"1591,00"
392,Acer,Aspire 5,Notebook,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,Intel,12,1TB HDD,HDD,Nvidia GeForce MX130,Nvidia,Windows,10,2.2kg,1366x768  ------>  2.2kg,"693,99"
393,MSI,Leopard GP72M,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.7kg,1920x1080  ------>  2.7kg,"1349,00"
398,Dell,Precision M5520,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,1.78kg,3840x2160  ------>  1.78kg,"2712,00"
401,Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.9kg,1920x1080  ------>  2.9kg,"1529,00"
403,Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Linux,,2.5kg,1920x1080  ------>  2.5kg,"879,00"
404,MSI,GE73VR 7RF,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,2.8kg,1920x1080  ------>  2.8kg,"2249,00"
410,Lenovo,ThinkPad P51,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,512GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,2.67kg,1920x1080  ------>  2.67kg,"1925,00"
411,Lenovo,Thinkpad T470p,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,Intel,8,512GB SSD,SSD,Nvidia GeForce GT 940MX,Nvidia,Windows,10,1.7kg,2560x1440  ------>  1.7kg,"1943,00"
420,Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2kg,3840x2160  ------>  2kg,"1899,00"
423,Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,Linux,,2.3kg,1920x1080  ------>  2.3kg,"597,00"
424,Dell,Alienware 17,Gaming,17.3,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,Intel,16,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,4.42kg,2560x1440  ------>  4.42kg,"2799,00"
425,Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050 Ti,Nvidia,Windows,10,2.62kg,1920x1080  ------>  2.62kg,"1159,00"
428,HP,Omen 17-w207nv,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,12,256GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1070,Nvidia,Windows,10,3.35kg,1920x1080  ------>  3.35kg,"1999,00"
433,Lenovo,Thinkpad T570,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,Intel,16,512GB SSD,SSD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.3kg,3840x2160  ------>  2.3kg,"2445,00"
434,Lenovo,Thinkpad P51,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,Intel,16,512GB SSD,SSD,Nvidia Quadro M2200M,Nvidia,Windows,10,2.5kg,1920x1080  ------>  2.5kg,"2449,00"
444,HP,Omen 15-AX205na,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,128GB SSD +  1TB HDD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"1099,00"
445,Dell,Latitude 5480,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce 930MX,Nvidia,Windows,10,1.64kg,1920x1080  ------>  1.64kg,"1179,00"
447,Dell,Precision 3520,Workstation,15.6,Full HD 1920x1080,Intel Xeon E3-1505M V6 3GHz,Intel,8,64GB Flash Storage +  1TB HDD,Flash,Nvidia Quadro M620,Nvidia,Windows,10,2.23kg,1920x1080  ------>  2.23kg,"1993,00"
448,MSI,GV62 7RD-1686NL,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,8,256GB SSD,SSD,Nvidia GeForce GTX 1050,Nvidia,Windows,10,2.2kg,1920x1080  ------>  2.2kg,"1027,74"
451,Dell,Precision 3520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,Intel,16,256GB SSD,SSD,Nvidia Quadro M620,Nvidia,Windows,10,2.17kg,1920x1080  ------>  2.17kg,"1975,00"
456,Dell,Alienware 17,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.7GHz,Intel,8,1TB HDD,HDD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,4.42kg,1920x1080  ------>  4.42kg,"2046,00"
460,Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,Intel,4,1TB HDD,HDD,Nvidia GeForce 940MX,Nvidia,Windows,10,2.23kg,1920x1080  ------>  2.23kg,"544,00"
464,Lenovo,Thinkpad P51,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,Intel,8,256GB SSD,SSD,Nvidia Quadro M2200M,Nvidia,Windows,10,2.67kg,1920x1080  ------>  2.67kg,"2090,00"
466,Acer,Aspire 5,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,Intel,4,500GB HDD,HDD,Nvidia GeForce GTX 940MX,Nvidia,Windows,10,2.2kg,1366x768  ------>  2.2kg,"469,00"
468,HP,Omen 17-an006nv,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,12,1TB HDD,HDD,Nvidia GeForce GTX 1060,Nvidia,Windows,10,3.78kg,1920x1080  ------>  3.78kg,"1699,00"
476,Dell,Precision M5520,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,8,256GB SSD,SSD,Nvidia Quadro M1200,Nvidia,Windows,10,1.78kg,1920x1080  ------>  1.78kg,"2408,00"
