Series/Tournament,Season,Unnamed: 2,Winner,Margin
Papua New Guinea in United Arab Emirates T20I Series,2017,,U.A.E.,3-0 (3)
Afghanistan in West Indies T20I Series,2017,,West Indies,3-0 (3)
South Africa in England T20I Series,2017,,England,2-1 (3)
India in West Indies T20I Match,2017,,West Indies,1-0 (1)
India in Sri Lanka T20I Match,2017,,India,1-0 (1)
Independence Cup (World-XI in Pakistan),2017/18,,Pakistan,2-1 (3)
West Indies in England T20I Match,2017,,West Indies,1-0 (1)
Australia in India T20I Series,2017/18,,drawn,1-1 (3)
Bangladesh in South Africa T20I Series,2017/18,,South Africa,2-0 (2)
Pakistan v Sri Lanka T20I Series (in Pakistan/United Arab Emirates),2017/18,,Pakistan,3-0 (3)
New Zealand in India T20I Series,2017/18,,India,2-1 (3)
Sri Lanka in India T20I Series,2017/18,,India,3-0 (3)
West Indies in New Zealand T20I Series,2017/18,,New Zealand,2-0 (3)
Pakistan in New Zealand T20I Series,2017/18,,Pakistan,2-1 (3)
Afghanistan v Zimbabwe T20I Series (in United Arab Emirates),2017/18,,Afghanistan,2-0 (2)
Sri Lanka in Bangladesh T20I Series,2017/18,,Sri Lanka,2-0 (2)
"Trans-Tasman Twenty20 Tri-Series (Australia, England, New Zealand in Australia/New Zealand)",2017/18,,Australia,
India in South Africa T20I Series,2017/18,,India,2-1 (3)
"Nidahas Twenty20 Tri-Series (Bangladesh, India, Sri Lanka in Sri Lanka)",2017/18,,India,
West Indies in Pakistan T20I Series,2018,,Pakistan,3-0 (3)
ICC World XI v West Indies T20I Match (in England),2018,,West Indies,1-0 (1)
Afghanistan v Bangladesh T20I Series (in India),2018,,Afghanistan,3-0 (3)
Pakistan in Scotland T20I Series,2018,,Pakistan,2-0 (2)
"Netherlands Tri-Nation T20I Series (Ireland, Netherlands, Scotland)",2018,,,
Australia in England T20I Match,2018,,England,1-0 (1)
India in Ireland T20I Series,2018,,India,2-0 (2)
India in England T20I Series,2018,,India,2-1 (3)
"Zimbabwe Twenty20 Tri-Series (Australia, Pakistan, Zimbabwe)",2018,,Pakistan,
"Marylebone Cricket Club Tri-Nation T20 Series (Marylebone Cricket Club, Nepal, Netherlands in England)",2018,,,
West Indies v Bangladesh T20I Series (in United States of America/West Indies),2018,,Bangladesh,2-1 (3)
South Africa in Sri Lanka T20I Match,2018,,Sri Lanka,1-0 (1)
Afghanistan in Ireland T20I Series,2018,,Afghanistan,2-0 (3)
Zimbabwe in South Africa T20I Series,2018/19,,South Africa,2-0 (3)
Australia in United Arab Emirates T20I Match,2018/19,,Australia,1-0 (1)
England in Sri Lanka T20I Match,2018/19,,England,1-0 (1)
Pakistan v Australia T20I Series (in United Arab Emirates),2018/19,,Pakistan,3-0 (3)
Pakistan v New Zealand T20I Series (in United Arab Emirates),2018/19,,Pakistan,3-0 (3)
West Indies in India T20I Series,2018/19,,India,3-0 (3)
South Africa in Australia T20I Match,2018/19,,South Africa,1-0 (1)
India in Australia T20I Series,2018/19,,drawn,1-1 (3)
West Indies in Bangladesh T20I Series,2018/19,,West Indies,2-1 (3)
Sri Lanka in New Zealand T20I Match,2018/19,,New Zealand,1-0 (1)
"ACC Western Region T20 (Bahrain, Kuwait, Maldives, Qatar, Saudi Arabia in Oman)",2018/19,,Saudi Arabia,
Nepal in United Arab Emirates T20I Series,2018/19,,Nepal,2-1 (3)
Pakistan in South Africa T20I Series,2018/19,,South Africa,2-1 (3)
India in New Zealand T20I Series,2018/19,,New Zealand,2-1 (3)
"Oman Quadrangular T20I Series (Ireland, Netherlands, Oman, Scotland)",2018/19,,Scotland,
Afghanistan v Ireland T20I Series (in India),2018/19,,Afghanistan,3-0 (3)
Australia in India T20I Series,2018/19,,Australia,2-0 (2)
England in West Indies T20I Series,2018/19,,England,3-0 (3)
United States of America in United Arab Emirates T20I Series,2018/19,,U.A.E.,1-0 (2)
"ICC World Twenty20 East Asia-Pacific Region Final (Papua New Guinea, Philippines, Vanuatu in Papua New Guinea)",2018/19,,P.N.G.,
Sri Lanka in South Africa T20I Series,2018/19,,South Africa,3-0 (3)
"Spain Triangular T20I Series (Estonia XI, Malta, Spain)",2019,,Spain,
"Central American Cricket Championships (Belize, Costa Rica, Marylebone Cricket Club, Mexico, Panama in Mexico)",2019,,Belize,
Pakistan in England T20I Match,2019,,England,1-0 (1)
Germany in Belgium T20I Series,2019,,Germany,3-0 (3)
"ICC Men's T20 World Cup Africa Region Final (Botswana, Ghana, Kenya, Namibia, Nigeria, Uganda in Uganda)",2019,,Namibia,
Germany v Italy T20I Series (in Netherlands),2019,,Italy,2-0 (2)
Inter-Insular T20 Series (Jersey in Guernsey),2019,,Jersey,3-0 (3)
"ICC Men's T20 World Cup Europe Region Final (Denmark, Germany, Guernsey, Italy, Jersey, Norway in Guernsey)",2019,,Jersey,
Zimbabwe in Netherlands T20I Series,2019,,drawn,1-1 (2)
"Malaysia Tri-Nation T20I Series (Malaysia, Maldives, Thailand)",2019,,Malaysia,
Kuwait in Qatar T20I Series,2019,,Qatar,2-1 (3)
Finland in Denmark T20I Series,2019,,Denmark,2-0 (2)
"Pacific Games Men's Cricket Competition (New Caledonia, Papua New Guinea, Samoa, Vanuatu in Samoa)",2019,,P.N.G.,
Nepal in Malaysia T20I Series,2019,,Nepal,2-0 (2)
Zimbabwe in Ireland T20I Series,2019,,drawn,1-1 (3)
"ICC Men's T20 World Cup Asia Region Final (Kuwait, Malaysia, Nepal, Qatar, Singapore in Singapore)",2019,,Singapore,
West Indies v India T20I Series (in United States of America/West Indies),2019,,India,3-0 (3)
United Arab Emirates in Netherlands T20I Series,2019,,U.A.E.,4-0 (4)
Spain in Finland T20I Series,2019,,Spain,2-1 (3)
Botswana in Namibia T20I Series,2019,,Namibia,4-0 (4)
"ICC Men's T20 World Cup Americas Region Final (Bermuda, Canada, Cayman Islands, United States of America in Bermuda)",2019,,Canada,
"Continental Cup (Austria, Czech Republic, Luxembourg, Romania, Turkey in Romania)",2019,,Austria,
New Zealand in Sri Lanka T20I Series,2019,,New Zealand,2-1 (3)
"Ireland Tri-Nation T20I Series (Ireland, Netherlands, Scotland)",2019,,Ireland,
South Africa in India T20I Series,2019/20,,drawn,1-1 (3)
"Bangladesh Twenty20 Tri-Series (Afghanistan, Bangladesh, Zimbabwe)",2019,,shared,
"Singapore Twenty20 Tri-Series (Nepal, Singapore, Zimbabwe)",2019/20,,Zimbabwe,
Vanuatu in Malaysia T20I Series,2019/20,,Vanuatu,3-2 (5)
"South American Men's Championships (Argentina, Brazil, Chile, Mexico, Peru in Peru)",2019/20,,Argentina,
Sri Lanka in Pakistan T20I Series,2019/20,,Sri Lanka,3-0 (3)
"Oman Pentangular T20I Series (Hong Kong, Ireland, Nepal, Netherlands, Oman)",2019/20,,Oman,
Jersey in Qatar T20I Series,2019/20,,Qatar,3-0 (3)
"Hellenic Premier League (Bulgaria, Greece, Serbia in Greece)",2019/20,,Bulgaria,
"Valletta Cup (Czech Republic, Hungary XI, Iceland, Malta in Malta)",2019/20,,Czech Rep.,
"Iberia Cup (Gibraltar, Portugal, Spain in Spain)",2019/20,,Spain,
Sri Lanka in Australia T20I Series,2019/20,,Australia,3-0 (3)
ICC Men's T20 World Cup Qualifier (in United Arab Emirates),2019/20,,Netherlands,
Pakistan in Australia T20I Series,2019/20,,Australia,2-0 (3)
Bangladesh in India T20I Series,2019/20,,India,2-1 (3)
England in New Zealand T20I Series,2019/20,,England,3-2 (5)
Kwacha T20 Men's Cup (Mozambique in Malawi),2019/20,,Malawi,5-1 (7)
Afghanistan v West Indies T20I Series (in India),2019/20,,Afghanistan,2-1 (3)
"South Asian Games Men's Cricket Competition (Bangladesh Under-23s, Bhutan, Maldives, Nepal, Sri Lanka Under-23s in Nepal)",2019/20,,Bdesh U-23s,
West Indies in India T20I Series,2019/20,,India,2-1 (3)
Sri Lanka in India T20I Series,2019/20,,India,2-0 (3)
Ireland in West Indies T20I Series,2019/20,,drawn,1-1 (3)
Bangladesh in Pakistan T20I Series,2019/20,,Pakistan,2-0 (3)
India in New Zealand T20I Series,2019/20,,India,5-0 (5)
Uganda in Qatar T20I Series,2019/20,,Qatar,2-1 (3)
England in South Africa T20I Series,2019/20,,England,2-1 (3)
Australia in South Africa T20I Series,2019/20,,Australia,2-1 (3)
Interport T20I Series (Hong Kong in Malaysia),2019/20,,Malaysia,5-0 (5)
ACC Western Region T20 (in Oman),2019/20,,U.A.E.,
"ACC Eastern Region T20 (Hong Kong, Malaysia, Nepal, Singapore, Thailand in Thailand)",2019/20,,Singapore,
West Indies in Sri Lanka T20I Series,2019/20,,West Indies,2-0 (2)
Germany in Spain T20I Series,2019/20,,drawn,1-1 (2)
Afghanistan v Ireland T20I Series (in India),2019/20,,Afghanistan,2-1 (3)
Zimbabwe in Bangladesh T20I Series,2019/20,,Bangladesh,2-0 (2)
Asia XI v World XI T20I Series (in Bangladesh),2019/20,,,
Netherlands in Namibia T20I Series,2019/20,,,
Australia in New Zealand T20I Series,2019/20,,,
Ireland in Zimbabwe T20I Series,2020,,,
Ireland v Bangladesh T20I Series (in England),2020,,,
New Zealand in Scotland T20I Match,2020,,abandoned,0-0 (1)
New Zealand in Netherlands T20I Match,2020,,abandoned,0-0 (1)
New Zealand in Ireland T20I Series,2020,,,
Australia in Scotland T20I Match,2020,,abandoned,0-0 (1)
Isle of Man in Guernsey T20I Match,2020,,Guernsey,1-0 (1)
"Luxembourg Twenty20 Tri-Series (Belgium, Czech Republic, Luxembourg)",2020,,Belgium,
Pakistan in England T20I Series,2020,,drawn,1-1 (3)
Australia in England T20I Series,2020,,England,2-1 (3)
Malta in Bulgaria T20I Series,2020,,Malta,2-0 (4)
Balkan Cup (Bulgaria in Romania),2020/21,,Romania,
Zimbabwe in Pakistan T20I Series,2020/21,,Pakistan,3-0 (3)
West Indies in New Zealand T20I Series,2020/21,,New Zealand,2-0 (3)
England in South Africa T20I Series,2020/21,,England,3-0 (3)
India in Australia T20I Series,2020/21,,India,2-1 (3)
Pakistan in New Zealand T20I Series,2020/21,,New Zealand,2-1 (3)
South Africa in Pakistan T20I Series,2020/21,,Pakistan,2-1 (3)
Australia in New Zealand T20I Series,2020/21,,New Zealand,3-2 (5)
Sri Lanka in West Indies T20I Series,2020/21,,West Indies,2-1 (3)
Afghanistan v Zimbabwe T20I Series (in United Arab Emirates),2020/21,,Afghanistan,3-0 (3)
England in India T20I Series,2020/21,,India,3-2 (5)
Bangladesh in New Zealand T20I Series,2020/21,,New Zealand,3-0 (3)
Uganda in Namibia T20I Series,2021,,Namibia,3-0 (3)
Pakistan in South Africa T20I Series,2021,,Pakistan,3-1 (4)
"Nepal Tri-Nation T20I Series (Malaysia, Nepal, Netherlands)",2021,,Nepal,
Pakistan in Zimbabwe T20I Series,2021,,Pakistan,2-1 (3)
"Central Europe Cup (Austria, Czech Republic, Luxembourg in Czech Republic)",2021,,Austria,
Sri Lanka in England T20I Series,2021,,England,3-0 (3)
"Sofia Twenty20 (Bulgaria, Greece, Romania, Serbia in Bulgaria)",2021,,Romania,
South Africa in West Indies T20I Series,2021,,South Africa,3-2 (5)
Belgium in Malta T20I Series,2021,,Belgium,3-2 (5)
Australia in West Indies T20I Series,2021,,West Indies,4-1 (5)
Pakistan in England T20I Series,2021,,England,2-1 (3)
South Africa in Ireland T20I Series,2021,,South Africa,3-0 (3)
Austria in Belgium T20I Series,2021,,Belgium,2-1 (3)
Bangladesh in Zimbabwe T20I Series,2021,,Bangladesh,2-1 (3)
India in Sri Lanka T20I Series,2021,,Sri Lanka,2-1 (3)
Pakistan in West Indies T20I Series,2021,,Pakistan,1-0 (4)
"Germany T20 Tri-Series (France, Germany, Norway)",2021,,Germany,
Australia in Bangladesh T20I Series,2021,,Bangladesh,4-1 (5)
Sweden in Denmark T20I Series,2021,,Denmark,2-1 (3)
Ghana in Rwanda T20I Series,2021,,Ghana,3-2 (5)
"Portugal T20 Tri-Series (Gibraltar, Malta, Portugal)",2021,,Portugal,
Sweden in Finland T20I Series,2021,,drawn,2-2 (4)
Zimbabwe in Ireland T20I Series,2021,,Ireland,3-2 (5)
"Continental Cup (Bulgaria, Czech Republic, Hungary, Luxembourg, Malta, Romania in Romania)",2021,,Romania,
New Zealand in Bangladesh T20I Series,2021,,Bangladesh,3-2 (5)
Germany in Spain T20I Series,2021,,Spain,2-1 (3)
South Africa in Sri Lanka T20I Series,2021,,South Africa,3-0 (3)
"Uganda T20 Tri-Series (Kenya, Nigeria, Uganda)",2021,,Uganda,
Zimbabwe in Scotland T20I Series,2021,,Zimbabwe,2-1 (3)
New Zealand in Pakistan T20I Series,2021,,,
Estonia in Cyprus T20I Series,2021/22,,Cyprus,2-0 (2)
Namibia in United Arab Emirates T20I Match,2021/22,,Namibia,1-0 (1)
"Cyprus T20 Tri-Series (Cyprus, Estonia, Isle of Man)",2021/22,,Isle of Man,
Papua New Guinea v Scotland T20I Match (in United Arab Emirates),2021/22,,Scotland,1-0 (1)
Namibia v Scotland T20I Match (in United Arab Emirates),2021/22,,Namibia,1-0 (1)
Ireland in United Arab Emirates T20I Series,2021/22,,U.A.E.,2-1 (3)
Namibia v Papua New Guinea T20I Match (in United Arab Emirates),2021/22,,Namibia,1-0 (1)
"ICC Men's T20 World Cup Europe Region Qualifier (Denmark, Germany, Italy, Jersey in Spain)",2021/22,,Jersey,
ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A (in Rwanda),2021/22,,Uganda,
"Valletta Cup (Bulgaria, Gibraltar, Malta, Switzerland in Malta)",2021/22,,Malta,
Gibraltar in Malta T20I Series,2021/22,,drawn,0-0 (2)
Sierra Leone in Nigeria T20I Series,2021/22,,Nigeria,5-1 (6)
"ICC Men's T20 World Cup Asia A Qualifier (Bahrain, Kuwait, Maldives, Qatar, Saudi Arabia in Qatar)",2021/22,,Bahrain,
"ICC Men's T20 World Cup Sub Regional Africa Qualifier Group B (Botswana, Cameroon, Mozambique, Sierra Leone, Tanzania in Rwanda)",2021/22,,Tanzania,
ICC Men's T20 World Cup (in Oman/United Arab Emirates),2021/22,,Australia,
ICC Men's T20 World Cup Americas Region Qualifier (in West Indies),2021/22,,U.S.A.,
"ICC Men's T20 World Cup Africa Region Qualifier (Kenya, Nigeria, Tanzania, Uganda in Rwanda)",2021/22,,Uganda,
New Zealand in India T20I Series,2021/22,,India,3-0 (3)
Pakistan in Bangladesh T20I Series,2021/22,,Pakistan,3-0 (3)
West Indies in Pakistan T20I Series,2021/22,,Pakistan,3-0 (3)
